"","taxonomy"
"ASV_10072","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;ASV_10072"
"ASV_10073","Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella;ASV_10073"
"ASV_10074","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Roseiarcus;ASV_10074"
"ASV_10075","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;ASV_10075"
"ASV_10076","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_10076"
"ASV_10077","Bacteria;WPS-2;NA;NA;NA;NA;ASV_10077"
"ASV_10078","Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;NA;ASV_10078"
"ASV_10079","Bacteria;Cyanobacteria;Vampirivibrionia;Vampirovibrionales;Vampirovibrionaceae;NA;ASV_10079"
"ASV_1008","Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_1008"
"ASV_10080","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Candidatus Nostocoida;ASV_10080"
"ASV_10081","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_10081"
"ASV_10082","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_10082"
"ASV_10083","Bacteria;Firmicutes;Bacilli;Erysipelotrichales;NA;NA;ASV_10083"
"ASV_10084","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10084"
"ASV_10085","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10085"
"ASV_10086","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodopila;ASV_10086"
"ASV_10087","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10087"
"ASV_10088","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_10088"
"ASV_10089","Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas;ASV_10089"
"ASV_1009","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_1009"
"ASV_10090","Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI 0001001-H03;ASV_10090"
"ASV_10091","Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;ASV_10091"
"ASV_10092","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;ASV_10092"
"ASV_10093","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_10093"
"ASV_10094","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10094"
"ASV_10095","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA;ASV_10095"
"ASV_10096","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes;ASV_10096"
"ASV_10097","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10097"
"ASV_10098","Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas;ASV_10098"
"ASV_10099","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10099"
"ASV_101","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;ASV_101"
"ASV_1010","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_1010"
"ASV_10100","Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_10100"
"ASV_10101","Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA;ASV_10101"
"ASV_10102","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_10102"
"ASV_10103","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10103"
"ASV_10104","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10104"
"ASV_10105","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;NA;NA;ASV_10105"
"ASV_10106","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;NA;NA;ASV_10106"
"ASV_10107","Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;NA;NA;ASV_10107"
"ASV_10108","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter;ASV_10108"
"ASV_10109","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_10109"
"ASV_1011","Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;NA;NA;ASV_1011"
"ASV_10110","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;ASV_10110"
"ASV_10111","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10111"
"ASV_10112","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10112"
"ASV_10113","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10113"
"ASV_10114","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;ASV_10114"
"ASV_10115","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;ASV_10115"
"ASV_10116","Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;ASV_10116"
"ASV_10117","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;NA;ASV_10117"
"ASV_10118","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10118"
"ASV_10119","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_10119"
"ASV_1012","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocapsa;ASV_1012"
"ASV_10120","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA;ASV_10120"
"ASV_10121","Bacteria;NA;NA;NA;NA;NA;ASV_10121"
"ASV_10122","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10122"
"ASV_10123","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;ASV_10123"
"ASV_10124","Bacteria;Dependentiae;Babeliae;Babeliales;NA;NA;ASV_10124"
"ASV_10125","Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_10125"
"ASV_10126","Bacteria;Firmicutes;NA;NA;NA;NA;ASV_10126"
"ASV_10127","Bacteria;Actinobacteriota;MB-A2-108;NA;NA;NA;ASV_10127"
"ASV_10128","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_10128"
"ASV_10129","Bacteria;Chloroflexi;Anaerolineae;SBR1031;NA;NA;ASV_10129"
"ASV_1013","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;ASV_1013"
"ASV_10130","Bacteria;Actinobacteriota;Thermoleophilia;NA;NA;NA;ASV_10130"
"ASV_10131","Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina;ASV_10131"
"ASV_10132","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;ASV_10132"
"ASV_10133","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_10133"
"ASV_10134","Bacteria;Chloroflexi;SHA-26;NA;NA;NA;ASV_10134"
"ASV_10135","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Nitrobacter;ASV_10135"
"ASV_10136","Bacteria;NA;NA;NA;NA;NA;ASV_10136"
"ASV_10137","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_10137"
"ASV_10138","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;ASV_10138"
"ASV_10139","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_10139"
"ASV_1014","Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;NA;ASV_1014"
"ASV_10140","Bacteria;Proteobacteria;Gammaproteobacteria;WD260;NA;NA;ASV_10140"
"ASV_10141","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_10141"
"ASV_10142","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_10142"
"ASV_10143","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10143"
"ASV_10144","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Candidatus Nostocoida;ASV_10144"
"ASV_10145","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10145"
"ASV_10146","Bacteria;Chloroflexi;Chloroflexia;Kallotenuales;AKIW781;NA;ASV_10146"
"ASV_10147","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_10147"
"ASV_10148","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;NA;ASV_10148"
"ASV_10149","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;ASV_10149"
"ASV_1015","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;ASV_1015"
"ASV_10150","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10150"
"ASV_10151","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10151"
"ASV_10152","Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;ASV_10152"
"ASV_10153","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_10153"
"ASV_10154","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_10154"
"ASV_10155","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_10155"
"ASV_10156","Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA;NA;ASV_10156"
"ASV_10157","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA;ASV_10157"
"ASV_10158","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_10158"
"ASV_10159","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_10159"
"ASV_1016","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;NA;NA;ASV_1016"
"ASV_10160","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;ASV_10160"
"ASV_10161","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10161"
"ASV_10162","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Candidatus Nostocoida;ASV_10162"
"ASV_10163","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_10163"
"ASV_10164","Bacteria;Actinobacteriota;Acidimicrobiia;NA;NA;NA;ASV_10164"
"ASV_10165","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_10165"
"ASV_10166","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10166"
"ASV_10167","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_10167"
"ASV_10168","Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;ASV_10168"
"ASV_10169","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_10169"
"ASV_1017","Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA;ASV_1017"
"ASV_10170","Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;NA;NA;ASV_10170"
"ASV_10171","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10171"
"ASV_10172","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10172"
"ASV_10173","Bacteria;NA;NA;NA;NA;NA;ASV_10173"
"ASV_10174","Bacteria;Actinobacteriota;Thermoleophilia;NA;NA;NA;ASV_10174"
"ASV_10175","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA;ASV_10175"
"ASV_10176","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodopila;ASV_10176"
"ASV_10177","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);NA;ASV_10177"
"ASV_10178","Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;ASV_10178"
"ASV_10179","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;ASV_10179"
"ASV_1018","Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191;NA;NA;ASV_1018"
"ASV_10180","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_10180"
"ASV_10181","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;ASV_10181"
"ASV_10182","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_10182"
"ASV_10183","Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;ASV_10183"
"ASV_10184","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_10184"
"ASV_10185","Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;ASV_10185"
"ASV_10186","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_10186"
"ASV_10187","Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_10187"
"ASV_10188","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_10188"
"ASV_10189","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_10189"
"ASV_1019","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_1019"
"ASV_10190","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10190"
"ASV_10191","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_10191"
"ASV_10192","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;ASV_10192"
"ASV_10193","Bacteria;Actinobacteriota;Coriobacteriia;OPB41;NA;NA;ASV_10193"
"ASV_10194","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_10194"
"ASV_10195","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;ASV_10195"
"ASV_10196","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_10196"
"ASV_10197","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_10197"
"ASV_10198","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Nitrobacter;ASV_10198"
"ASV_10199","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_10199"
"ASV_102","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_102"
"ASV_1020","Bacteria;Chloroflexi;SHA-26;NA;NA;NA;ASV_1020"
"ASV_10200","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_10200"
"ASV_10201","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;ASV_10201"
"ASV_10202","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA;ASV_10202"
"ASV_10203","Bacteria;Chloroflexi;Chloroflexia;Elev-1554;NA;NA;ASV_10203"
"ASV_10204","Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_10204"
"ASV_10205","Bacteria;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter;ASV_10205"
"ASV_10206","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_10206"
"ASV_10207","Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;NA;NA;ASV_10207"
"ASV_10208","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_10208"
"ASV_10209","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_10209"
"ASV_1021","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-73102;ASV_1021"
"ASV_10210","Bacteria;Acidobacteriota;Blastocatellia;11-24;NA;NA;ASV_10210"
"ASV_10211","Bacteria;NA;NA;NA;NA;NA;ASV_10211"
